"You can print gift card on the confirmation email or the Gift Card in your account.","Du kannst den Gutschein"
"Sent From","Von"
"Sender name","Absender"
"Recipient name","Empfänger"
"Sent To","An"
"characters remaining","Zeichen übrig"
"Print At Home","Zum Ausdrucken"
Delivery,Art
"From: %1","Von: %1"
"To: %1","An: %1"
"From: ","Von: "
"To: ","An: "
